번호,게시판,날짜,제목,글자수,이미지수,결손이미지,태그,원문URL,MD파일
1,27년 초대장.,2026-07-22,27년 초대장.,2898,1,0,,https://blog.naver.com/pillion21/224354803712,아카이브/01_27년 초대장/2026-07-22_27년 초대장.md
2,27년 초대장.,2026-07-26,27년 초대장 2.,3084,0,0,,https://blog.naver.com/pillion21/224358119078,아카이브/01_27년 초대장/2026-07-26_27년 초대장 2.md
3,27년 초대장.,2026-08-03,시작.,2297,0,0,,https://blog.naver.com/pillion21/224366539692,아카이브/01_27년 초대장/2026-08-03_시작.md
4,27년 초대장.,2026-08-06,출발선.,1221,0,0,,https://blog.naver.com/pillion21/224370222997,아카이브/01_27년 초대장/2026-08-06_출발선.md
5,27년 초대장.,2026-08-20,동기부여 1.,4259,1,0,,https://blog.naver.com/pillion21/224384834821,아카이브/01_27년 초대장/2026-08-20_동기부여 1.md
6,27년 초대장.,2026-08-30,동기부여 2.,2697,2,0,,https://blog.naver.com/pillion21/224395004658,아카이브/01_27년 초대장/2026-08-30_동기부여 2.md
7,27년 초대장.,2026-09-03,동기부여 3.,3063,2,0,,https://blog.naver.com/pillion21/224399361435,아카이브/01_27년 초대장/2026-09-03_동기부여 3.md
8,턱걸이,2024-01-01,턱걸이 Orientation.,1710,0,0,,https://blog.naver.com/pillion21/223309017007,아카이브/02_턱걸이/2024-01-01_턱걸이 Orientation.md
9,턱걸이,2024-01-14,1회,1939,0,0,,https://blog.naver.com/pillion21/223322010673,아카이브/02_턱걸이/2024-01-14_1회.md
10,턱걸이,2024-01-28,2회,700,0,0,,https://blog.naver.com/pillion21/223336288262,아카이브/02_턱걸이/2024-01-28_2회.md
11,턱걸이,2024-02-11,3회.,262,0,0,,https://blog.naver.com/pillion21/223350417128,아카이브/02_턱걸이/2024-02-11_3회.md
12,턱걸이,2024-02-25,4회,860,0,0,,https://blog.naver.com/pillion21/223364498946,아카이브/02_턱걸이/2024-02-25_4회.md
13,턱걸이,2024-03-10,5회,428,0,0,,https://blog.naver.com/pillion21/223378913065,아카이브/02_턱걸이/2024-03-10_5회.md
14,턱걸이,2024-03-24,6회,670,1,0,,https://blog.naver.com/pillion21/223393687795,아카이브/02_턱걸이/2024-03-24_6회.md
15,턱걸이,2024-04-14,7회,1086,0,0,,https://blog.naver.com/pillion21/223415173950,아카이브/02_턱걸이/2024-04-14_7회.md
16,턱걸이,2024-04-28,8회,534,0,0,,https://blog.naver.com/pillion21/223429798705,아카이브/02_턱걸이/2024-04-28_8회.md
17,턱걸이,2024-05-15,9회,498,0,0,,https://blog.naver.com/pillion21/223447538702,아카이브/02_턱걸이/2024-05-15_9회.md
18,턱걸이,2024-05-26,10회,400,0,0,,https://blog.naver.com/pillion21/223458986203,아카이브/02_턱걸이/2024-05-26_10회.md
19,턱걸이,2024-06-16,11회,517,0,0,,https://blog.naver.com/pillion21/223481184508,아카이브/02_턱걸이/2024-06-16_11회.md
20,턱걸이,2024-06-30,12회,542,0,0,,https://blog.naver.com/pillion21/223496062290,아카이브/02_턱걸이/2024-06-30_12회.md
21,턱걸이,2024-07-14,13회.,835,0,0,,https://blog.naver.com/pillion21/223512056936,아카이브/02_턱걸이/2024-07-14_13회.md
22,턱걸이,2024-07-28,14회,352,0,0,,https://blog.naver.com/pillion21/223528255201,아카이브/02_턱걸이/2024-07-28_14회.md
23,턱걸이,2024-08-11,15회,720,0,0,,https://blog.naver.com/pillion21/223544219230,아카이브/02_턱걸이/2024-08-11_15회.md
24,턱걸이,2024-08-25,16회,396,0,0,,https://blog.naver.com/pillion21/223560182196,아카이브/02_턱걸이/2024-08-25_16회.md
25,턱걸이,2024-09-08,17 회,1827,0,0,,https://blog.naver.com/pillion21/223576765419,아카이브/02_턱걸이/2024-09-08_17 회.md
26,턱걸이,2024-09-22,18회,487,0,0,,https://blog.naver.com/pillion21/223592263925,아카이브/02_턱걸이/2024-09-22_18회.md
27,턱걸이,2024-10-13,19회,397,0,0,,https://blog.naver.com/pillion21/223617078798,아카이브/02_턱걸이/2024-10-13_19회.md
28,턱걸이,2024-10-27,20회,476,0,0,,https://blog.naver.com/pillion21/223635556189,아카이브/02_턱걸이/2024-10-27_20회.md
29,턱걸이,2024-11-10,21회,704,0,0,,https://blog.naver.com/pillion21/223654658068,아카이브/02_턱걸이/2024-11-10_21회.md
30,턱걸이,2024-11-24,22회,758,0,0,,https://blog.naver.com/pillion21/223671279650,아카이브/02_턱걸이/2024-11-24_22회.md
31,턱걸이,2024-12-09,23회,462,0,0,,https://blog.naver.com/pillion21/223687627727,아카이브/02_턱걸이/2024-12-09_23회.md
32,턱걸이,2024-12-29,24회.,3521,0,0,,https://blog.naver.com/pillion21/223708409140,아카이브/02_턱걸이/2024-12-29_24회.md
33,턱걸이,2025-01-26,25년 1월.,3224,2,0,,https://blog.naver.com/pillion21/223739205543,아카이브/02_턱걸이/2025-01-26_25년 1월.md
34,턱걸이,2025-02-25,날짜와 장소.,1221,0,0,,https://blog.naver.com/pillion21/223773592213,아카이브/02_턱걸이/2025-02-25_날짜와 장소.md
35,턱걸이,2025-03-21,드디어. 내일.,2257,1,0,,https://blog.naver.com/pillion21/223804996631,아카이브/02_턱걸이/2025-03-21_드디어. 내일.md
36,턱걸이,2025-03-23,이 감정은 무얼까? 시원섭섭.. 아쉬움..,2657,3,0,,https://blog.naver.com/pillion21/223806733561,아카이브/02_턱걸이/2025-03-23_이 감정은 무얼까_ 시원섭섭.. 아쉬움.md
37,턱걸이,2026-01-10,다시 턱걸이.,1294,0,0,,https://blog.naver.com/pillion21/224141341159,아카이브/02_턱걸이/2026-01-10_다시 턱걸이.md
38,턱걸이,2026-01-11,26년 1회,713,0,0,,https://blog.naver.com/pillion21/224142606288,아카이브/02_턱걸이/2026-01-11_26년 1회.md
39,턱걸이,2026-01-25,26년 2회,1327,0,0,,https://blog.naver.com/pillion21/224159132891,아카이브/02_턱걸이/2026-01-25_26년 2회.md
40,턱걸이,2026-02-08,26년 3회.,667,0,0,,https://blog.naver.com/pillion21/224176195716,아카이브/02_턱걸이/2026-02-08_26년 3회.md
41,턱걸이,2026-02-22,26년 4회.,1687,1,0,,https://blog.naver.com/pillion21/224191560211,아카이브/02_턱걸이/2026-02-22_26년 4회.md
42,턱걸이,2026-03-08,26년 5회.,2499,1,0,,https://blog.naver.com/pillion21/224208802224,아카이브/02_턱걸이/2026-03-08_26년 5회.md
43,턱걸이,2026-03-21,26년 6회. 부상.,2565,1,0,,https://blog.naver.com/pillion21/224224343941,아카이브/02_턱걸이/2026-03-21_26년 6회. 부상.md
44,턱걸이,2026-04-05,7회,748,0,0,,https://blog.naver.com/pillion21/224241564175,아카이브/02_턱걸이/2026-04-05_7회.md
45,턱걸이,2026-04-19,8회,788,0,0,,https://blog.naver.com/pillion21/224257725829,아카이브/02_턱걸이/2026-04-19_8회.md
46,턱걸이,2026-05-03,9회,532,0,0,,https://blog.naver.com/pillion21/224273425799,아카이브/02_턱걸이/2026-05-03_9회.md
47,턱걸이,2026-05-17,10회,370,0,0,,https://blog.naver.com/pillion21/224288006429,아카이브/02_턱걸이/2026-05-17_10회.md
48,턱걸이,2026-05-31,11회,403,0,0,,https://blog.naver.com/pillion21/224301801537,아카이브/02_턱걸이/2026-05-31_11회.md
49,턱걸이,2026-06-14,12회,1910,0,0,,https://blog.naver.com/pillion21/224315584330,아카이브/02_턱걸이/2026-06-14_12회.md
50,턱걸이,2026-07-05,13회,852,0,0,,https://blog.naver.com/pillion21/224337082044,아카이브/02_턱걸이/2026-07-05_13회.md
51,턱걸이,2026-07-19,14회.,540,0,0,,https://blog.naver.com/pillion21/224351097936,아카이브/02_턱걸이/2026-07-19_14회.md
52,턱걸이,2026-08-02,15회.,1158,12,0,,https://blog.naver.com/pillion21/224365627878,아카이브/02_턱걸이/2026-08-02_15회.md
53,Trend following,2023-11-30,"수익은 열고, 손실은 닫아라.",4202,1,0,,https://blog.naver.com/pillion21/223278930489,"아카이브/03_Trend following/2023-11-30_수익은 열고, 손실은 닫아라.md"
54,Trend following,2023-11-30,시작하면서..,1470,0,0,,https://blog.naver.com/pillion21/223278736307,아카이브/03_Trend following/2023-11-30_시작하면서.md
55,Trend following,2023-12-01,손익비.,4276,8,0,,https://blog.naver.com/pillion21/223279705897,아카이브/03_Trend following/2023-12-01_손익비.md
56,Trend following,2023-12-04,가치투자도 역시..,2467,1,0,,https://blog.naver.com/pillion21/223282324693,아카이브/03_Trend following/2023-12-04_가치투자도 역시.md
57,Trend following,2023-12-05,낮은 승률..,3455,4,0,,https://blog.naver.com/pillion21/223283357820,아카이브/03_Trend following/2023-12-05_낮은 승률.md
58,Trend following,2023-12-06,"trend follower 에게, 지금 시장의 위치는?",2057,1,0,,https://blog.naver.com/pillion21/223284238673,"아카이브/03_Trend following/2023-12-06_trend follower 에게, 지금 시장의 위치는_.md"
59,Trend following,2023-12-07,trading 의 핵심.,977,0,0,,https://blog.naver.com/pillion21/223285437312,아카이브/03_Trend following/2023-12-07_trading 의 핵심.md
60,Trend following,2023-12-08,추세를 적으로 삼지 마라.,1723,0,0,,https://blog.naver.com/pillion21/223286429197,아카이브/03_Trend following/2023-12-08_추세를 적으로 삼지 마라.md
61,Trend following,2023-12-10,자금 관리에 대해서..,4509,1,0,,https://blog.naver.com/pillion21/223288561580,아카이브/03_Trend following/2023-12-10_자금 관리에 대해서.md
62,Trend following,2023-12-12,마치면서..,2666,0,0,,https://blog.naver.com/pillion21/223290332356,아카이브/03_Trend following/2023-12-12_마치면서.md
63,Trend following,2023-12-20,귀신 씨나락 까먹는 소리.,3719,0,0,,https://blog.naver.com/pillion21/223298035789,아카이브/03_Trend following/2023-12-20_귀신 씨나락 까먹는 소리.md
64,단상 (斷想 ),2023-10-10,가장 쉽게 돈버는 법,3196,1,0,,https://blog.naver.com/pillion21/223232849180,아카이브/04_단상 (斷想 )/2023-10-10_가장 쉽게 돈버는 법.md
65,단상 (斷想 ),2023-10-12,익히되 잊어라.,1728,1,0,,https://blog.naver.com/pillion21/223234765564,아카이브/04_단상 (斷想 )/2023-10-12_익히되 잊어라.md
66,단상 (斷想 ),2023-10-14,23년전.,1753,0,0,,https://blog.naver.com/pillion21/223236607978,아카이브/04_단상 (斷想 )/2023-10-14_23년전.md
67,단상 (斷想 ),2023-10-17,인간.,1284,0,0,,https://blog.naver.com/pillion21/223238666142,아카이브/04_단상 (斷想 )/2023-10-17_인간.md
68,단상 (斷想 ),2023-10-21,내가 만난 젊은 투자자 분들.,3664,0,0,,https://blog.naver.com/pillion21/223242477317,아카이브/04_단상 (斷想 )/2023-10-21_내가 만난 젊은 투자자 분들.md
69,단상 (斷想 ),2023-10-29,팬심에 손절은 없다.. ?,1825,0,0,,https://blog.naver.com/pillion21/223249444906,아카이브/04_단상 (斷想 )/2023-10-29_팬심에 손절은 없다.. _.md
70,단상 (斷想 ),2023-11-02,"시작했으면, 끝은 봐라.",1242,0,0,,https://blog.naver.com/pillion21/223253282993,"아카이브/04_단상 (斷想 )/2023-11-02_시작했으면, 끝은 봐라.md"
71,단상 (斷想 ),2023-11-04,잊혀지지 않는 기억,1621,0,0,,https://blog.naver.com/pillion21/223255258357,아카이브/04_단상 (斷想 )/2023-11-04_잊혀지지 않는 기억.md
72,단상 (斷想 ),2023-11-08,아마.. 이게 달랐을거다.,1985,1,0,,https://blog.naver.com/pillion21/223259032924,아카이브/04_단상 (斷想 )/2023-11-08_아마.. 이게 달랐을거다.md
73,단상 (斷想 ),2023-11-10,추세추종 거래가 쉬울까?,2623,0,0,,https://blog.naver.com/pillion21/223261051079,아카이브/04_단상 (斷想 )/2023-11-10_추세추종 거래가 쉬울까_.md
74,단상 (斷想 ),2023-11-11,데이트레이딩 ?,1490,0,0,,https://blog.naver.com/pillion21/223261662776,아카이브/04_단상 (斷想 )/2023-11-11_데이트레이딩 _.md
75,단상 (斷想 ),2023-11-13,내가 아는 이야기만 하자.,2669,0,0,,https://blog.naver.com/pillion21/223263481307,아카이브/04_단상 (斷想 )/2023-11-13_내가 아는 이야기만 하자.md
76,단상 (斷想 ),2023-11-16,내가 알아본 두 사람.,3365,4,0,,https://blog.naver.com/pillion21/223266392034,아카이브/04_단상 (斷想 )/2023-11-16_내가 알아본 두 사람.md
77,단상 (斷想 ),2023-11-18,영혼을 갈아 넣는다는건..,3201,1,0,,https://blog.naver.com/pillion21/223268154352,아카이브/04_단상 (斷想 )/2023-11-18_영혼을 갈아 넣는다는건.md
