session_date,open,high,low,close,volume,ma20,ma50,ma200,rsi14,atr14,vol_index
2003-05-09,78.3,79.35,77.75,79.3,296107,,,,,,
2003-05-13,80.75,81.3,77.6,77.6,370436,,,,,,
2003-05-14,77.6,78.8,77.05,77.65,323920,,,,,,
2003-05-15,77.85,79.3,77.1,79.15,294932,,,,,,
2003-05-16,78.7,79.35,77.2,77.7,341446,,,,,,
2003-05-19,76.6,76.65,75.15,75.25,230949,,,,,,
2003-05-20,73.95,76.35,73.9,76.0,290613,,,,,,
2003-05-21,75.8,76.6,75.45,76.0,282912,,,,,,
2003-05-22,75.5,77.3,74.6,75.5,332044,,,,,,
2003-05-23,76.5,77.85,76.2,77.6,296280,,,,,,
2003-05-26,77.6,79.1,77.2,78.35,267392,,,,,,
2003-05-27,78.8,78.9,77.3,78.4,252218,,,,,,
2003-05-28,80.1,80.45,79.2,79.7,224515,,,,,,
2003-05-29,79.4,81.25,79.3,80.4,278190,,,,,,
2003-05-30,80.75,81.1,79.7,80.65,292397,,,,55.0,2.14,
2003-06-02,82.0,83.0,81.9,82.35,182360,,,,60.3,2.15,
2003-06-03,81.5,81.95,80.5,80.9,234926,,,,54.4,2.13,
2003-06-04,81.5,81.8,80.45,81.35,249412,,,,55.8,2.07,
2003-06-05,82.5,82.6,81.6,81.8,190960,,,,57.3,2.01,
2003-06-09,81.5,83.15,81.25,82.9,200483,78.93,,,60.7,2.01,
2003-06-10,82.3,83.4,82.05,82.8,167343,79.1,,,60.3,1.96,
2003-06-11,83.0,83.95,82.7,82.9,191263,79.37,,,60.6,1.91,
2003-06-12,83.95,84.5,83.2,84.2,157597,79.7,,,64.7,1.89,
