session_date,open,high,low,close,volume,ma20,ma50,ma200,rsi14,atr14,vol_index
2023-01-02,127000.0,127500.0,122000.0,123500.0,40995,,,,,,
2023-01-03,123000.0,124000.0,119500.0,123500.0,52834,,,,,,
2023-01-04,122500.0,122500.0,116000.0,117500.0,119322,,,,,,
2023-01-05,117500.0,118500.0,115000.0,116000.0,64977,,,,,,
2023-01-06,115500.0,118500.0,114500.0,115500.0,62125,,,,,,
2023-01-09,115500.0,118500.0,113500.0,118500.0,60960,,,,,,
2023-01-10,118000.0,118500.0,116000.0,116500.0,30827,,,,,,
2023-01-11,117500.0,118500.0,115500.0,118000.0,69711,,,,,,
2023-01-12,118500.0,121500.0,117500.0,121000.0,56227,,,,,,
2023-01-13,121000.0,121000.0,116500.0,117500.0,78422,,,,,,
2023-01-16,117500.0,121500.0,117000.0,120500.0,51202,,,,,,
2023-01-17,120000.0,121000.0,117000.0,117500.0,55718,,,,,,
2023-01-18,118000.0,120500.0,117000.0,120000.0,55977,,,,,,
2023-01-19,119500.0,125000.0,118500.0,125000.0,69378,,,,,,
2023-01-20,124000.0,125500.0,120000.0,120500.0,64138,,,,46.2,4464.29,
2023-01-25,121500.0,123000.0,120500.0,122900.0,19,,,,49.5,4323.98,
2023-01-26,123700.0,123700.0,119300.0,119900.0,44,,,,45.7,4329.41,
2023-01-27,120000.0,121400.0,118900.0,119500.0,162,,,,45.2,4198.74,
2023-01-30,119500.0,120500.0,118800.0,120200.0,23,,,,46.3,4020.26,
2023-01-31,120000.0,123000.0,119500.0,122200.0,41,119785.0,,,49.4,3983.1,
2023-02-01,122500.0,122900.0,119200.0,120400.0,37,119630.0,,,46.8,3962.87,
2023-02-02,120400.0,121600.0,118600.0,119500.0,32135,119430.0,,,45.5,3894.1,
2023-02-03,119600.0,122000.0,118600.0,120800.0,88,119595.0,,,47.7,3858.8,
2023-02-06,120100.0,121300.0,119300.0,119600.0,115,119775.0,,,45.8,3726.03,
2023-02-07,119600.0,119800.0,117000.0,118400.0,123,119920.0,,,43.9,3659.89,
2023-02-08,118400.0,119900.0,117600.0,119100.0,37597,119950.0,,,45.4,3562.75,
2023-02-09,119300.0,119900.0,118000.0,118200.0,22219,120035.0,,,43.8,3443.98,
2023-02-10,118200.0,122000.0,116700.0,119700.0,95,120120.0,,,47.0,3576.56,
2023-02-13,120600.0,129400.0,120600.0,129000.0,294,120520.0,,,61.7,4013.95,
2023-02-14,129900.0,131400.0,127800.0,128500.0,2497,121070.0,,,60.7,3984.38,
2023-02-15,123500.0,127300.0,120700.0,125300.0,272,121310.0,,,54.8,4256.92,
2023-02-16,124600.0,125200.0,122200.0,122500.0,294,121560.0,,,50.1,4174.29,
2023-02-17,122600.0,123600.0,121500.0,123200.0,29374,121720.0,,,51.2,4026.12,
2023-02-20,123200.0,124500.0,121200.0,121600.0,392,121550.0,,,48.6,3974.26,
2023-02-21,123100.0,125600.0,122700.0,124600.0,86,121755.0,,,53.5,3976.1,
2023-02-22,123100.0,123900.0,121000.0,121400.0,314,121680.0,,,48.2,3949.23,
2023-02-23,121500.0,122000.0,119900.0,121600.0,194,121765.0,,,48.6,3817.14,
2023-02-24,122000.0,124500.0,120000.0,121000.0,71,121840.0,,,47.5,3865.92,
2023-02-27,120300.0,121900.0,118800.0,121700.0,42644,121915.0,,,48.9,3811.21,
2023-02-28,121700.0,122200.0,119300.0,119300.0,33473,121770.0,,,44.7,3746.12,
2023-03-02,121400.0,124300.0,121300.0,123900.0,65739,121945.0,,,53.0,3835.69,
2023-03-03,123900.0,124300.0,122200.0,123600.0,17471,122150.0,,,52.5,3711.71,
2023-03-06,123200.0,123500.0,120500.0,120600.0,43207,122140.0,,,47.1,3668.02,
2023-03-07,121400.0,125600.0,120900.0,123000.0,56132,122310.0,,,51.4,3763.16,
2023-03-08,123100.0,123300.0,121500.0,122100.0,26982,122495.0,,,49.8,3622.93,
2023-03-09,123000.0,125000.0,122200.0,122800.0,31727,122680.0,,,51.1,3571.29,
2023-03-10,122100.0,124400.0,122000.0,122000.0,25678,122870.0,,,49.5,3487.63,
2023-03-13,122000.0,122300.0,117700.0,121700.0,60602,122970.0,,,48.9,3567.08,
2023-03-14,122800.0,122800.0,114400.0,114500.0,67935,122245.0,,,37.2,3912.29,
