bar_start_utc,bar_start_kst,bar_start_local,open,high,low,close,volume,ma20,ma50,ma200,rsi14,atr14,vol_index
2025-02-02 23:00,2025-02-03 08:00,2025-02-02 18:00,21200.0,21200.0,20943.0,21115.0,24584,,,,,,
2025-02-03 00:00,2025-02-03 09:00,2025-02-02 19:00,21114.0,21155.5,21027.5,21118.75,14828,,,,,,
2025-02-03 01:00,2025-02-03 10:00,2025-02-02 20:00,21115.75,21150.0,21065.75,21075.75,12713,,,,,,
2025-02-03 02:00,2025-02-03 11:00,2025-02-02 21:00,21074.5,21077.25,20976.75,21029.75,12598,,,,,,
2025-02-03 03:00,2025-02-03 12:00,2025-02-02 22:00,21029.5,21059.0,20995.75,21035.75,6555,,,,,,
2025-02-03 04:00,2025-02-03 13:00,2025-02-02 23:00,21034.0,21052.25,20981.25,21019.75,6020,,,,,,
2025-02-03 05:00,2025-02-03 14:00,2025-02-03 00:00,21019.5,21077.0,20998.75,21072.25,5729,,,,,,
2025-02-03 06:00,2025-02-03 15:00,2025-02-03 01:00,21071.0,21101.0,21044.0,21066.0,7580,,,,,,
2025-02-03 07:00,2025-02-03 16:00,2025-02-03 02:00,21068.0,21154.0,21067.75,21117.75,8819,,,,,,
2025-02-03 08:00,2025-02-03 17:00,2025-02-03 03:00,21118.25,21252.0,21118.25,21205.5,14431,,,,,,
2025-02-03 09:00,2025-02-03 18:00,2025-02-03 04:00,21206.25,21232.0,21166.5,21183.5,10230,,,,,,
2025-02-03 10:00,2025-02-03 19:00,2025-02-03 05:00,21181.5,21246.5,21158.25,21232.75,7363,,,,,,
2025-02-03 11:00,2025-02-03 20:00,2025-02-03 06:00,21233.5,21272.0,21197.0,21224.5,9808,,,,,,
2025-02-03 12:00,2025-02-03 21:00,2025-02-03 07:00,21224.75,21230.75,21155.5,21179.25,14844,,,,,,
2025-02-03 13:00,2025-02-03 22:00,2025-02-03 08:00,21180.25,21247.5,21163.0,21202.5,18498,,,,59.5,85.21,
2025-02-03 14:00,2025-02-03 23:00,2025-02-03 09:00,21202.25,21295.0,21171.75,21216.25,100484,,,,60.8,87.93,
2025-02-03 15:00,2025-02-04 00:00,2025-02-03 10:00,21215.25,21453.75,21113.25,21420.0,139293,,,,73.8,105.97,21.56999969482422
2025-02-03 16:00,2025-02-04 01:00,2025-02-03 11:00,21419.0,21474.5,21340.75,21382.5,76166,,,,69.2,107.96,21.100000381469727
2025-02-03 17:00,2025-02-04 02:00,2025-02-03 12:00,21382.0,21455.75,21341.0,21401.25,56866,,,,70.2,108.44,21.389999389648438
2025-02-03 18:00,2025-02-04 03:00,2025-02-03 13:00,21400.75,21473.0,21351.0,21467.75,45955,21188.33,,,73.5,109.41,21.399999618530273
2025-02-03 19:00,2025-02-04 04:00,2025-02-03 14:00,21466.75,21519.75,21448.0,21485.5,41829,21206.85,,,74.3,106.72,20.860000610351562
2025-02-03 20:00,2025-02-04 05:00,2025-02-03 15:00,21486.25,21506.75,21398.5,21406.25,56685,21221.22,,,64.8,106.83,21.219999313354492
2025-02-03 21:00,2025-02-04 06:00,2025-02-03 16:00,21406.25,21579.75,21388.25,21553.25,27180,21245.1,,,71.9,112.88,21.3700008392334
2025-02-03 23:00,2025-02-04 08:00,2025-02-03 18:00,21592.0,21600.0,21553.5,21571.5,0,21272.19,,,72.7,108.15,21.3700008392334
2025-02-04 00:00,2025-02-04 09:00,2025-02-03 19:00,21571.25,21576.75,21536.5,21549.0,4439,21297.85,,,70.2,103.3,21.3700008392334
2025-02-04 01:00,2025-02-04 10:00,2025-02-03 20:00,21548.75,21549.5,21480.0,21509.75,6329,21322.35,,,66.0,100.89,21.3700008392334
2025-02-04 02:00,2025-02-04 11:00,2025-02-03 21:00,21509.75,21515.5,21462.0,21468.5,4646,21342.16,,,61.8,97.5,21.3700008392334
2025-02-04 03:00,2025-02-04 12:00,2025-02-03 22:00,21468.75,21473.0,21426.0,21450.0,4481,21361.36,,,60.0,93.9,21.3700008392334
2025-02-04 04:00,2025-02-04 13:00,2025-02-03 23:00,21450.5,21475.75,21441.75,21454.5,3469,21378.2,,,60.3,89.62,21.3700008392334
2025-02-04 05:00,2025-02-04 14:00,2025-02-04 00:00,21301.5,21410.0,21242.5,21358.25,16914,21385.84,,,51.2,98.36,21.3700008392334
2025-02-04 06:00,2025-02-04 15:00,2025-02-04 01:00,21359.25,21402.75,21328.75,21400.25,5134,21396.67,,,54.4,96.62,21.3700008392334
2025-02-04 07:00,2025-02-04 16:00,2025-02-04 02:00,21400.5,21424.75,21387.0,21405.75,4640,21405.33,,,54.8,92.41,21.3700008392334
2025-02-04 08:00,2025-02-04 17:00,2025-02-04 03:00,21405.75,21422.0,21312.5,21363.0,8849,21412.25,,,50.9,93.64,21.3700008392334
2025-02-04 09:00,2025-02-04 18:00,2025-02-04 04:00,21362.5,21403.25,21356.0,21369.5,6270,21421.76,,,51.4,90.32,21.3700008392334
2025-02-04 10:00,2025-02-04 19:00,2025-02-04 05:00,21368.75,21401.75,21357.75,21390.75,4143,21431.17,,,53.4,87.01,21.3700008392334
2025-02-04 11:00,2025-02-04 20:00,2025-02-04 06:00,21390.5,21426.5,21375.0,21399.0,5689,21440.31,,,54.1,84.48,21.3700008392334
2025-02-04 12:00,2025-02-04 21:00,2025-02-04 07:00,21401.0,21498.5,21401.0,21457.0,12999,21442.16,,,59.1,85.55,21.3700008392334
2025-02-04 13:00,2025-02-04 22:00,2025-02-04 08:00,21455.5,21475.5,21421.0,21434.5,12921,21444.76,,,56.6,83.33,21.3700008392334
2025-02-04 14:00,2025-02-04 23:00,2025-02-04 09:00,21434.5,21575.75,21405.25,21559.75,68516,21452.69,,,65.6,89.56,21.3700008392334
2025-02-04 15:00,2025-02-05 00:00,2025-02-04 10:00,21561.0,21680.0,21561.0,21633.5,84433,21460.97,,,69.6,91.75,20.459999084472656
2025-02-04 16:00,2025-02-05 01:00,2025-02-04 11:00,21634.5,21694.0,21634.0,21657.5,43752,21469.58,,,70.8,89.52,20.209999084472656
2025-02-04 17:00,2025-02-05 02:00,2025-02-04 12:00,21658.0,21660.75,21550.0,21622.75,52911,21480.4,,,66.7,91.03,20.479999542236328
2025-02-04 18:00,2025-02-05 03:00,2025-02-04 13:00,21623.5,21646.0,21570.0,21622.0,29725,21483.84,,,66.6,89.96,20.139999389648438
2025-02-04 19:00,2025-02-05 04:00,2025-02-04 14:00,21622.75,21680.0,21609.5,21638.75,35064,21487.2,,,67.6,88.57,20.149999618530273
2025-02-04 20:00,2025-02-05 05:00,2025-02-04 15:00,21638.0,21685.25,21625.25,21668.0,45615,21493.15,,,69.4,86.53,20.209999084472656
2025-02-04 21:00,2025-02-05 06:00,2025-02-04 16:00,21667.75,21691.75,21572.0,21583.5,25295,21496.84,,,59.2,88.9,20.0
2025-02-04 23:00,2025-02-05 08:00,2025-02-04 18:00,21562.0,21594.5,21550.0,21566.5,0,21501.74,,,57.4,85.73,20.0
2025-02-05 00:00,2025-02-05 09:00,2025-02-04 19:00,21568.25,21617.0,21555.5,21598.0,5765,21509.14,,,59.9,84.0,20.0
2025-02-05 01:00,2025-02-05 10:00,2025-02-04 20:00,21597.25,21623.5,21567.0,21570.25,5484,21514.92,,,56.8,82.04,20.0
2025-02-05 02:00,2025-02-05 11:00,2025-02-04 21:00,21569.5,21588.5,21558.75,21564.25,4084,21525.22,21381.55,,56.1,78.3,20.0
2025-02-05 03:00,2025-02-05 12:00,2025-02-04 22:00,21565.25,21576.0,21537.25,21543.0,3640,21532.36,21390.11,,53.6,75.48,20.0
2025-02-05 04:00,2025-02-05 13:00,2025-02-04 23:00,21542.5,21563.5,21534.25,21562.25,3142,21540.19,21398.98,,55.5,72.17,20.0
2025-02-05 05:00,2025-02-05 14:00,2025-02-05 00:00,21558.25,21564.25,21530.5,21539.5,3145,21549.01,21408.26,,52.8,69.43,20.0
2025-02-05 06:00,2025-02-05 15:00,2025-02-05 01:00,21541.0,21549.25,21508.0,21519.25,5236,21556.5,21418.04,,50.4,67.42,20.0
2025-02-05 07:00,2025-02-05 16:00,2025-02-05 02:00,21518.0,21520.5,21481.25,21515.0,6836,21562.71,21427.63,,49.9,65.41,20.0
2025-02-05 08:00,2025-02-05 17:00,2025-02-05 03:00,21514.0,21540.75,21451.25,21469.25,13497,21566.22,21436.62,,44.6,67.13,20.0
2025-02-05 09:00,2025-02-05 18:00,2025-02-05 04:00,21470.25,21506.0,21435.5,21441.0,11974,21565.42,21443.99,,41.7,67.37,20.0
2025-02-05 10:00,2025-02-05 19:00,2025-02-05 05:00,21441.0,21480.0,21429.75,21479.0,6718,21567.65,21452.26,,46.8,66.14,20.0
2025-02-05 11:00,2025-02-05 20:00,2025-02-05 06:00,21479.5,21497.25,21474.25,21494.0,5447,21564.36,21459.78,,48.6,63.06,20.0
2025-02-05 12:00,2025-02-05 21:00,2025-02-05 07:00,21494.5,21515.0,21471.0,21511.0,8958,21558.24,21465.89,,50.8,61.7,20.0
2025-02-05 13:00,2025-02-05 22:00,2025-02-05 08:00,21511.25,21553.75,21486.5,21529.25,17125,21551.83,21472.81,,53.0,62.1,20.0
2025-02-05 14:00,2025-02-05 23:00,2025-02-05 09:00,21529.25,21588.0,21510.0,21568.25,37151,21549.1,21479.51,,57.5,63.23,20.0
2025-02-05 15:00,2025-02-06 00:00,2025-02-05 10:00,21570.5,21605.0,21501.0,21592.25,116250,21547.61,21486.87,,60.0,66.15,19.8700008392334
2025-02-05 16:00,2025-02-06 01:00,2025-02-05 11:00,21591.0,21719.25,21562.75,21711.0,65876,21551.22,21497.51,,69.6,72.6,19.860000610351562
2025-02-05 17:00,2025-02-06 02:00,2025-02-05 12:00,21711.0,21742.25,21684.25,21704.75,42562,21553.06,21507.55,,68.7,71.56,19.540000915527344
2025-02-05 18:00,2025-02-06 03:00,2025-02-05 13:00,21705.5,21722.25,21672.0,21710.5,29069,21559.41,21517.44,,69.1,70.03,19.540000915527344
2025-02-05 19:00,2025-02-06 04:00,2025-02-05 14:00,21710.5,21736.25,21703.0,21709.5,24393,21566.56,21523.22,,68.9,67.41,19.360000610351562
2025-02-05 20:00,2025-02-06 05:00,2025-02-05 15:00,21708.75,21769.0,21689.75,21761.5,51109,21574.74,21530.81,,72.7,68.25,19.309999465942383
2025-02-05 21:00,2025-02-06 06:00,2025-02-05 16:00,21761.25,21795.0,21750.0,21770.5,20602,21584.75,21538.19,,73.3,66.59,19.229999542236328
2025-02-05 23:00,2025-02-06 08:00,2025-02-05 18:00,21764.5,21775.5,21749.75,21773.0,0,21595.19,21544.29,,73.5,63.67,19.229999542236328
2025-02-06 00:00,2025-02-06 09:00,2025-02-05 19:00,21772.25,21797.75,21765.25,21774.0,4039,21606.74,21550.06,,73.5,61.45,19.229999542236328
2025-02-06 01:00,2025-02-06 10:00,2025-02-05 20:00,21775.5,21785.0,21763.5,21767.75,2534,21617.01,21557.29,,72.2,58.59,19.229999542236328
2025-02-06 02:00,2025-02-06 11:00,2025-02-05 21:00,21767.5,21784.5,21758.25,21780.75,2267,21629.08,21561.85,,73.3,56.28,19.229999542236328
2025-02-06 03:00,2025-02-06 12:00,2025-02-05 22:00,21781.0,21788.5,21769.0,21780.75,1838,21642.15,21566.03,,73.3,53.66,19.229999542236328
2025-02-06 04:00,2025-02-06 13:00,2025-02-05 23:00,21780.0,21806.25,21778.25,21805.25,2530,21656.66,21571.15,,75.4,51.82,19.229999542236328
2025-02-06 05:00,2025-02-06 14:00,2025-02-06 00:00,21807.25,21832.75,21806.0,21828.5,4109,21674.62,21577.53,,77.3,50.09,19.229999542236328
2025-02-06 06:00,2025-02-06 15:00,2025-02-06 01:00,21829.75,21830.25,21807.25,21810.0,2488,21693.08,21584.36,,72.6,48.15,19.229999542236328
