bar_start_utc,bar_start_kst,bar_start_et,underlying,vxn,weekly_exp,weekly_days,weekly_call,weekly_put,weekly_straddle,weekly_straddle_pct,weekly_put_otm5,weekly_call_otm5,weekly_put_otm10,weekly_call_otm10,front_exp,front_days,front_call,front_put,front_straddle,front_straddle_pct,front_put_otm5,front_call_otm5,front_put_otm10,front_call_otm10,next_exp,next_days,next_call,next_put,next_straddle,next_straddle_pct,next_put_otm5,next_call_otm5,next_put_otm10,next_call_otm10
2025-04-08 20:00,2025-04-09 05:00,2025-04-08 16:00,17232.0,39.84000015258789,2025-04-11,2.73,236.74,236.74,473.48,2.75,17.38,21.51,0.17,0.53,2025-04-18,9.73,446.56,446.56,893.12,5.18,133.79,150.4,23.55,37.21,2025-05-16,37.73,876.05,876.05,1752.1,10.17,492.74,533.33,240.49,305.04
2025-04-08 22:00,2025-04-09 07:00,2025-04-08 18:00,17067.0,39.84000015258789,2025-04-11,2.65,230.87,230.87,461.74,2.71,16.08,19.97,0.14,0.45,2025-04-18,9.65,440.39,440.39,880.79,5.16,131.16,147.5,22.84,36.18,2025-05-16,37.65,866.72,866.72,1733.43,10.16,487.16,527.31,237.54,301.36
2025-04-08 23:00,2025-04-09 08:00,2025-04-08 19:00,16994.0,39.84000015258789,2025-04-11,2.6,228.07,228.07,456.13,2.68,15.45,19.23,0.13,0.41,2025-04-18,9.6,437.56,437.56,875.13,5.15,129.92,146.14,22.5,35.69,2025-05-16,37.6,862.54,862.54,1725.07,10.15,484.65,524.61,236.2,299.69
2025-04-09 00:00,2025-04-09 09:00,2025-04-08 20:00,16899.0,39.84000015258789,2025-04-11,2.56,224.97,224.97,449.94,2.66,14.81,18.47,0.12,0.37,2025-04-18,9.56,434.18,434.18,868.35,5.14,128.52,144.59,22.14,35.16,2025-05-16,37.56,857.24,857.24,1714.49,10.15,481.52,521.22,234.56,297.64
2025-04-09 01:00,2025-04-09 10:00,2025-04-08 21:00,17119.0,39.84000015258789,2025-04-11,2.52,226.04,226.04,452.08,2.64,14.45,18.06,0.11,0.35,2025-04-18,9.52,438.87,438.87,877.74,5.13,129.52,145.74,22.19,35.28,2025-05-16,37.52,867.93,867.93,1735.85,10.14,487.36,527.55,237.29,301.13
2025-04-09 02:00,2025-04-09 11:00,2025-04-08 22:00,17051.0,39.84000015258789,2025-04-11,2.48,223.27,223.27,446.55,2.62,13.85,17.35,0.1,0.31,2025-04-18,9.48,436.17,436.17,872.35,5.12,128.32,144.43,21.86,34.8,2025-05-16,37.48,864.0,864.0,1728.01,10.13,484.99,525.0,236.03,299.56
2025-04-09 03:00,2025-04-09 12:00,2025-04-08 23:00,16919.5,39.84000015258789,2025-04-11,2.44,219.68,219.68,439.37,2.6,13.21,16.59,0.08,0.28,2025-04-18,9.44,431.86,431.86,863.72,5.1,126.66,142.58,21.46,34.2,2025-05-16,37.44,856.87,856.87,1713.74,10.13,480.83,520.5,233.89,296.87
2025-04-09 04:00,2025-04-09 13:00,2025-04-09 00:00,16825.0,39.84000015258789,2025-04-11,2.4,216.58,216.58,433.17,2.57,12.62,15.88,0.08,0.26,2025-04-18,9.4,428.5,428.5,857.0,5.09,125.28,141.06,21.11,33.69,2025-05-16,37.4,851.61,851.61,1703.23,10.12,477.72,517.15,232.26,294.84
2025-04-09 05:00,2025-04-09 14:00,2025-04-09 01:00,16895.75,39.84000015258789,2025-04-11,2.35,215.6,215.6,431.19,2.55,12.15,15.33,0.07,0.23,2025-04-18,9.35,429.35,429.35,858.7,5.08,125.14,140.92,20.97,33.5,2025-05-16,37.35,854.72,854.72,1709.44,10.12,479.3,518.87,232.92,295.7
2025-04-09 06:00,2025-04-09 15:00,2025-04-09 02:00,17020.5,39.84000015258789,2025-04-11,2.31,215.26,215.26,430.52,2.53,11.73,14.83,0.06,0.21,2025-04-18,9.31,431.56,431.56,863.12,5.07,125.38,141.23,20.89,33.42,2025-05-16,37.31,860.56,860.56,1721.11,10.11,482.41,522.25,234.32,297.51
2025-04-09 07:00,2025-04-09 16:00,2025-04-09 03:00,17342.75,39.84000015258789,2025-04-11,2.27,217.35,217.35,434.7,2.51,11.43,14.5,0.05,0.19,2025-04-18,9.27,438.75,438.75,877.49,5.06,127.06,143.15,21.05,33.71,2025-05-16,37.27,876.37,876.37,1752.73,10.11,491.11,531.67,238.43,302.75
2025-04-09 08:00,2025-04-09 17:00,2025-04-09 04:00,17350.0,39.84000015258789,2025-04-11,2.23,215.44,215.44,430.88,2.48,10.93,13.89,0.05,0.17,2025-04-18,9.23,437.94,437.94,875.89,5.05,126.42,142.46,20.82,33.39,2025-05-16,37.23,876.25,876.25,1752.49,10.1,490.87,531.43,238.2,302.49
2025-04-09 09:00,2025-04-09 18:00,2025-04-09 05:00,17268.5,39.84000015258789,2025-04-11,2.19,212.41,212.41,424.83,2.46,10.38,13.23,0.04,0.15,2025-04-18,9.19,434.9,434.9,869.81,5.04,125.14,141.04,20.49,32.9,2025-05-16,37.19,871.65,871.65,1743.29,10.1,488.13,528.47,236.75,300.69
2025-04-09 10:00,2025-04-09 19:00,2025-04-09 06:00,17248.0,39.84000015258789,2025-04-11,2.15,210.13,210.13,420.26,2.44,9.88,12.63,0.04,0.14,2025-04-18,9.15,433.4,433.4,866.81,5.03,124.3,140.12,20.23,32.53,2025-05-16,37.15,870.13,870.13,1740.26,10.09,487.12,527.39,236.14,299.95
2025-04-09 11:00,2025-04-09 20:00,2025-04-09 07:00,16959.5,39.84000015258789,2025-04-11,2.1,204.6,204.6,409.21,2.41,9.24,11.85,0.03,0.12,2025-04-18,9.1,425.19,425.19,850.37,5.01,121.54,137.04,19.67,31.67,2025-05-16,37.1,855.1,855.1,1710.2,10.08,478.54,518.11,231.87,294.55
2025-04-09 12:00,2025-04-09 21:00,2025-04-09 08:00,17130.75,39.84000015258789,2025-04-11,2.06,204.61,204.61,409.23,2.39,8.86,11.4,0.03,0.11,2025-04-18,9.06,428.5,428.5,857.0,5.0,122.08,137.68,19.64,31.66,2025-05-16,37.06,863.25,863.25,1726.51,10.08,482.94,522.88,233.89,297.14
2025-04-09 13:00,2025-04-09 22:00,2025-04-09 09:00,17446.5,39.84000015258789,2025-04-11,2.02,206.27,206.27,412.54,2.36,8.56,11.04,0.02,0.09,2025-04-18,9.02,435.39,435.39,870.79,4.99,123.63,139.46,19.77,31.91,2025-05-16,37.02,878.68,878.68,1757.35,10.07,491.4,532.05,237.87,302.23
2025-04-09 14:00,2025-04-09 23:00,2025-04-09 10:00,17225.0,49.79999923706055,2025-04-11,1.98,251.92,251.92,503.85,2.93,22.63,27.6,0.36,0.97,2025-04-18,8.98,536.04,536.04,1072.09,6.22,201.2,223.03,52.24,75.82,2025-05-16,36.98,1083.39,1083.39,2166.78,12.58,682.25,733.79,390.35,479.1
