session_date,asof_utc,underlying,vol_index,weekly_exp,weekly_days,weekly_call,weekly_put,weekly_straddle,weekly_straddle_pct,weekly_put_otm5,weekly_call_otm5,weekly_put_otm10,weekly_call_otm10,front_exp,front_days,front_call,front_put,front_straddle,front_straddle_pct,front_put_otm5,front_call_otm5,front_put_otm10,front_call_otm10,next_exp,next_days,next_call,next_put,next_straddle,next_straddle_pct,next_put_otm5,next_call_otm5,next_put_otm10,next_call_otm10
2023-01-03,2023-01-03 22:00,10945.5,29.110000610351562,2023-01-06,2.65,108.19,108.19,216.37,1.98,1.86,2.57,0.0,0.0,2023-01-20,16.65,270.88,270.88,541.75,4.95,76.08,85.88,11.93,19.34,2023-02-17,44.65,442.04,442.04,884.08,8.08,212.3,231.89,81.88,109.14
2023-01-04,2023-01-04 22:00,10999.25,28.360000610351562,2023-01-06,1.65,83.55,83.55,167.1,1.52,0.22,0.35,0.0,0.0,2023-01-20,15.65,257.14,257.14,514.28,4.68,66.2,75.15,8.85,14.87,2023-02-17,43.65,427.95,427.95,855.91,7.78,199.43,218.22,73.42,98.83
2023-01-05,2023-01-05 22:00,10820.25,28.809999465942383,2023-01-06,0.65,52.31,52.31,104.62,0.97,0.0,0.0,0.0,-0.0,2023-01-20,14.65,248.65,248.65,497.3,4.6,62.27,70.81,7.91,13.44,2023-02-17,42.65,422.79,422.79,845.58,7.81,197.7,216.28,73.17,98.38
2023-01-06,2023-01-06 22:00,11113.5,26.959999084472656,2023-01-13,6.65,161.16,161.16,322.31,2.9,14.12,17.25,0.21,0.58,2023-01-20,13.65,230.72,230.72,461.44,4.15,48.41,55.69,4.4,8.06,2023-02-17,41.65,401.64,401.64,803.28,7.23,175.59,192.86,58.47,80.41
2023-01-09,2023-01-09 22:00,11185.5,27.860000610351562,2023-01-13,3.65,124.19,124.19,248.39,2.22,3.89,5.13,0.01,0.03,2023-01-20,10.65,212.03,212.03,424.07,3.79,37.11,43.22,2.36,4.69,2023-02-17,38.65,402.56,402.56,805.11,7.2,175.27,192.56,57.98,79.86
2023-01-10,2023-01-10 22:00,11282.0,26.940000534057617,2023-01-13,2.65,103.2,103.2,206.4,1.83,1.11,1.59,0.0,0.0,2023-01-20,9.65,196.87,196.87,393.75,3.49,28.61,33.74,1.25,2.7,2023-02-17,37.65,387.56,387.56,775.13,6.87,161.55,177.94,49.83,69.67
2023-01-11,2023-01-11 22:00,11476.5,27.34000015258789,2023-01-13,1.65,84.04,84.04,168.08,1.46,0.16,0.26,0.0,0.0,2023-01-20,8.65,192.44,192.44,384.88,3.35,25.36,30.11,0.91,2.05,2023-02-17,36.65,394.8,394.8,789.59,6.88,164.76,181.47,50.93,71.17
2023-01-12,2023-01-12 22:00,11534.25,24.760000228881836,2023-01-13,0.65,47.92,47.92,95.84,0.83,0.0,0.0,0.0,0.0,2023-01-20,7.65,164.74,164.74,329.48,2.86,13.77,16.88,0.18,0.52,2023-02-17,35.65,354.47,354.47,708.93,6.15,131.67,146.06,33.6,48.95
2023-01-13,2023-01-13 22:00,11608.0,23.81999969482422,2023-01-20,6.65,148.72,148.72,297.45,2.56,8.53,10.74,0.05,0.17,2023-01-20,6.65,148.72,148.72,297.45,2.56,8.53,10.74,0.05,0.17,2023-02-17,34.65,338.39,338.39,676.78,5.83,118.32,131.73,27.26,40.6
2023-01-17,2023-01-17 22:00,11624.5,24.75,2023-01-20,2.65,97.69,97.69,195.38,1.68,0.59,0.88,0.0,0.0,2023-01-20,2.65,97.69,97.69,195.38,1.68,0.59,0.88,0.0,0.0,2023-02-17,30.65,331.31,331.31,662.63,5.7,112.68,125.67,24.76,37.26
2023-01-18,2023-01-18 22:00,11475.75,25.510000228881836,2023-01-20,1.65,78.41,78.41,156.82,1.37,0.07,0.13,0.0,0.0,2023-01-20,1.65,78.41,78.41,156.82,1.37,0.07,0.13,0.0,0.0,2023-02-17,29.65,331.61,331.61,663.22,5.78,114.66,127.75,25.91,38.76
2023-01-19,2023-01-19 22:00,11356.5,25.280000686645508,2023-01-20,0.65,48.17,48.17,96.35,0.85,0.0,0.0,0.0,0.0,2023-01-20,0.65,48.17,48.17,96.35,0.85,0.0,0.0,0.0,0.0,2023-02-17,28.65,319.71,319.71,639.42,5.63,107.07,119.53,22.91,34.68
2023-01-20,2023-01-20 22:00,11677.0,24.540000915527344,2023-01-27,6.65,154.13,154.13,308.26,2.64,9.86,12.32,0.07,0.24,2023-02-17,27.65,313.54,313.54,627.07,5.37,98.83,110.74,19.02,29.48,2023-03-17,55.65,443.27,443.27,886.55,7.59,202.6,221.94,72.36,98.04
2023-01-23,2023-01-23 22:00,11934.0,24.610000610351562,2023-01-27,3.65,117.05,117.05,234.1,1.96,1.93,2.67,0.0,0.0,2023-02-17,24.65,303.53,303.53,607.06,5.09,88.8,99.98,14.98,23.9,2023-03-17,52.65,442.07,442.07,884.14,7.41,197.78,216.93,68.31,93.21
2023-01-24,2023-01-24 22:00,11909.5,24.549999237060547,2023-01-27,2.65,99.28,99.28,198.55,1.67,0.56,0.84,0.0,0.0,2023-02-17,23.65,296.01,296.01,592.02,4.97,83.77,94.51,13.31,21.52,2023-03-17,51.65,435.94,435.94,871.89,7.32,192.98,211.81,65.54,89.76
2023-01-25,2023-01-25 22:00,11873.25,24.540000915527344,2023-01-27,1.65,78.04,78.04,156.08,1.31,0.05,0.09,0.0,0.0,2023-02-17,22.65,288.72,288.72,577.44,4.86,79.09,89.42,11.85,19.4,2023-03-17,50.65,430.27,430.27,860.53,7.25,188.75,207.27,63.19,86.81
2023-01-26,2023-01-26 22:00,12106.75,25.010000228881836,2023-01-27,0.65,50.81,50.81,101.62,0.84,0.0,0.0,0.0,0.0,2023-02-17,21.65,293.37,293.37,586.74,4.85,79.93,90.4,11.85,19.46,2023-03-17,49.65,442.74,442.74,885.49,7.31,195.79,214.9,66.39,90.95
2023-01-27,2023-01-27 22:00,12222.25,24.56999969482422,2023-02-03,6.65,161.52,161.52,323.05,2.64,10.38,12.97,0.08,0.25,2023-02-17,20.65,284.2,284.2,568.39,4.65,72.61,82.46,9.57,16.13,2023-03-17,48.65,434.72,434.72,869.44,7.11,187.45,206.06,61.06,84.38
2023-01-30,2023-01-30 22:00,11968.0,26.25,2023-02-03,3.65,125.2,125.2,250.41,2.09,2.93,3.94,0.0,0.01,2023-02-17,17.65,274.96,274.96,549.92,4.59,68.87,78.31,8.75,14.87,2023-03-17,45.65,440.68,440.68,881.36,7.36,195.98,215.04,67.05,91.68
