date,open,high,low,close,change,volume,source_url
2003-05-09,78.30,79.35,77.75,79.30,0.00,296107,https://n.news.naver.com/mnews/article/001/0000371415
2003-05-13,80.75,81.30,77.60,77.60,-2.75,370436,https://n.news.naver.com/mnews/article/001/0000373552
2003-05-14,77.60,78.80,77.05,77.65,0.05,323920,https://n.news.naver.com/mnews/article/001/0000374399
2003-05-15,77.85,79.30,77.10,79.15,1.50,294932,https://n.news.naver.com/mnews/article/001/0000375253
2003-05-16,78.70,79.35,77.20,77.70,-1.45,341446,https://n.news.naver.com/mnews/article/001/0000375901
2003-05-19,76.60,76.65,75.15,75.25,-2.45,230949,https://n.news.naver.com/mnews/article/001/0000377253
2003-05-20,73.95,76.35,73.90,76.00,0.75,290613,https://n.news.naver.com/mnews/article/001/0000377991
2003-05-21,75.80,76.60,75.45,76.00,0.00,282912,https://n.news.naver.com/mnews/article/001/0000378740
2003-05-22,75.50,77.30,74.60,75.50,-0.50,332044,https://n.news.naver.com/mnews/article/001/0000379489
2003-05-23,76.50,77.85,76.20,77.60,2.10,296280,https://n.news.naver.com/mnews/article/001/0000380109
2003-05-26,77.60,79.10,77.20,78.35,0.75,267392,https://n.news.naver.com/mnews/article/001/0000381236
2003-05-27,78.80,78.90,77.30,78.40,0.05,252218,https://n.news.naver.com/mnews/article/001/0000381897
2003-05-28,80.10,80.45,79.20,79.70,1.30,224515,https://n.news.naver.com/mnews/article/001/0000382550
2003-05-29,79.40,81.25,79.30,80.40,0.70,278190,https://n.news.naver.com/mnews/article/001/0000383208
2003-05-30,80.75,81.10,79.70,80.65,0.25,292397,https://n.news.naver.com/mnews/article/001/0000383875
2003-06-02,82.00,83.00,81.90,82.35,1.70,182360,https://n.news.naver.com/mnews/article/001/0000385149
2003-06-03,81.50,81.95,80.50,80.90,-1.45,234926,https://n.news.naver.com/mnews/article/001/0000385823
2003-06-04,81.50,81.80,80.45,81.35,0.45,249412,https://n.news.naver.com/mnews/article/001/0000386574
2003-06-05,82.50,82.60,81.60,81.80,0.45,190960,https://n.news.naver.com/mnews/article/001/0000387251
2003-06-09,81.50,83.15,81.25,82.90,1.10,200483,https://n.news.naver.com/mnews/article/001/0000388883
2003-06-10,82.30,83.40,82.05,82.80,-0.10,167343,https://n.news.naver.com/mnews/article/001/0000389561
2003-06-11,83.00,83.95,82.70,82.90,0.10,191263,https://n.news.naver.com/mnews/article/001/0000390287
2003-06-12,83.95,84.50,83.20,84.20,1.30,157597,https://n.news.naver.com/mnews/article/001/0000390966
